Spistillat_179	Spi_isotig00164
Spistillat_180	Spi_isotig00165
Spistillat_181	Spi_isotig00166
Spistillat_182	Spi_isotig00167
Spistillat_183	Spi_isotig00168
Spistillat_184	Spi_isotig00169
Spistillat_185	Spi_isotig00170
Spistillat_186	Spi_isotig00171
Spistillat_187	Spi_isotig00172
Spistillat_188	Spi_isotig00173
Spistillat_189	Spi_isotig00174
Spistillat_190	Spi_isotig00175
Spistillat_191	Spi_isotig00176
Spistillat_192	Spi_isotig00177
Spistillat_193	Spi_isotig00178
Spistillat_194	Spi_isotig00179
Spistillat_195	Spi_isotig00180
Spistillat_196	Spi_isotig00181
Spistillat_197	Spi_isotig00182
Spistillat_198	Spi_isotig00183
Spistillat_199	Spi_isotig00184
Spistillat_200	Spi_isotig00185
Spistillat_201	Spi_isotig00186
Spistillat_202	Spi_isotig00187
Spistillat_203	Spi_isotig00188
Spistillat_204	Spi_isotig00189
Spistillat_205	Spi_isotig00190
Spistillat_206	Spi_isotig00191
Spistillat_207	Spi_isotig00192
Spistillat_208	Spi_isotig00193
Spistillat_209	Spi_isotig00194
Spistillat_210	Spi_isotig00195
Spistillat_211	Spi_isotig00196
Spistillat_212	Spi_isotig00197
Spistillat_213	Spi_isotig00198
Spistillat_214	Spi_isotig00199
Spistillat_215	Spi_isotig00200
Spistillat_216	Spi_isotig00201
Spistillat_217	Spi_isotig00202
Spistillat_218	Spi_isotig00203
Spistillat_219	Spi_isotig00204
Spistillat_220	Spi_isotig00205
Spistillat_221	Spi_isotig00206
Spistillat_222	Spi_isotig00207
Spistillat_223	Spi_isotig00208
Spistillat_224	Spi_isotig00209
Spistillat_225	Spi_isotig00210
Spistillat_226	Spi_isotig00211
Spistillat_227	Spi_isotig00212
Spistillat_228	Spi_isotig00213
Spistillat_229	Spi_isotig00214
Spistillat_230	Spi_isotig00215
Spistillat_231	Spi_isotig00216
Spistillat_232	Spi_isotig00217
Spistillat_233	Spi_isotig00218
Spistillat_234	Spi_isotig00219
Spistillat_235	Spi_isotig00220
Spistillat_236	Spi_isotig00221
Spistillat_237	Spi_isotig00222
Spistillat_238	Spi_isotig00223
Spistillat_239	Spi_isotig00224
