Apalmata_161	AOKF492_b2_c
Apalmata_162	AOKF525_g2_c
Apalmata_163	AOKF548_g2_c
Apalmata_164	AOKF552_b2_c
Apalmata_165	AOKF566_b2_c
Apalmata_166	AOKF586_g2_c
Apalmata_167	AOKF611_g2_c
Apalmata_168	AOKF620_g2_c
Apalmata_169	AOKF628_g2_c
Apalmata_170	AOKF629_g2_c
Apalmata_171	AOKF642_g2_c
Apalmata_172	AOKF645_g2_c
Apalmata_173	AOKF648_g2_c
Apalmata_174	AOKF656_g2_c
Apalmata_175	AOKF658_g2_c
Apalmata_176	AOKF666_b2_c
Apalmata_177	AOKF688_g2_c
Apalmata_178	AOKF694_g2_c
Apalmata_179	AOKF701_g2_c
Apalmata_180	AOKF702_g2_c
Apalmata_181	AOKF703_b2_c
Apalmata_182	AOKF707_g2_c
Apalmata_183	AOKF712_g2_c
Apalmata_184	AOKF716_g2_c
Apalmata_185	AOKF788_g2_c
Apalmata_186	AOKF812_b2_c
Apalmata_187	AOKF816_b2_c
Apalmata_188	AOKF816_g2_c
Apalmata_189	AOKF824_g2_c
Apalmata_190	AOKF832_g2_c
Apalmata_191	AOKF834_g2_c
Apalmata_192	AOKF836_g2_c
Apalmata_193	AOKF860_g2_c
Apalmata_194	AOKF863_g2_c
Apalmata_195	AOKF878_g2_c
Apalmata_196	AOKF879_g2_c
Apalmata_197	AOKF890_g2_c
Apalmata_198	AOKF904_g2_c
Apalmata_199	AOKF905_g2_c
Apalmata_200	AOKF906_g2_c
Apalmata_201	AOKF918_g2_c
Apalmata_202	AOKF923_g2_c
Apalmata_203	AOKF927_g2_c
Apalmata_204	AOKF932_g2_c
Apalmata_205	AOKF945_b2_c
Apalmata_206	AOKF985_g2_c
Apalmata_207	AOKG1154_b2_c
Apalmata_208	AOKG1165_g2_c
Apalmata_209	AOKG1167_b2_c
Apalmata_210	AOKG1171_b2_c
Apalmata_211	AOKG1182_g2_c
Apalmata_212	AOKG1201_b2_c
Apalmata_213	AOKG1208_g2_c
Apalmata_214	AOKG1224_g2_c
Apalmata_215	AOKG1236_g2_c
Apalmata_216	AOKG1237_b2_c
Apalmata_217	AOKG1237_g2_c
Apalmata_218	AOKG1257_g2_c
Apalmata_219	AOKG1268_b2_c
Apalmata_220	AOKG1268_g2_c
Apalmata_221	AOKG1270_g2_c
Apalmata_222	AOKG1281_b2_c
Apalmata_223	AOKG1285_b2_c
Apalmata_224	AOKG1296_b2_c
Apalmata_225	AOKG1298_b2_c
Apalmata_226	AOKG1410_b2_c
Apalmata_227	AOKG1421_g2_c
Apalmata_228	AOKG1423_b2_c
Apalmata_229	AOKG1426_g2_c
Apalmata_230	AOKG1439_g2_c
Apalmata_231	AOKG1443_g2_c
Apalmata_232	AOKG1457_g2_c
Apalmata_233	AOKG1462_b2_c
Apalmata_234	AOKG1527_g2_c
Apalmata_235	AOKG1534_b2_c
Apalmata_236	AOKG1534_g2_c
Apalmata_237	AOKG1576_b2_c
Apalmata_238	AOKG1631_g2_c
Apalmata_239	AOKG1634_g2_c
Apalmata_240	AOKG1657_b2_c
Apalmata_241	AOKG1658_g2_c
Apalmata_242	AOKG1689_g2_c
