Pastreoide_147	GCKDGN101BL3YI
Pastreoide_148	GCKDGN101BXTXA
Pastreoide_149	GCKDGN101CKPN5
Pastreoide_150	GCKDGN101A03XE
Pastreoide_151	GCKDGN102D682O
Pastreoide_152	GCKDGN101B7XSZ
Pastreoide_153	GCKDGN101AXHK1
Pastreoide_154	GCKDGN102C6DFN
Pastreoide_155	GCKDGN102D467R
Pastreoide_156	GCKDGN101BFHOR
Pastreoide_157	GCKDGN101BARHN
Pastreoide_158	GCKDGN101B7GE4
Pastreoide_159	GCKDGN101CE8LR
Pastreoide_160	GCKDGN101BNCHW
Pastreoide_161	GCKDGN101ASTYA
Pastreoide_162	GCKDGN101CDRZ1
Pastreoide_163	GCKDGN101A2FEY
Pastreoide_164	GCKDGN101A4S6K
Pastreoide_165	GCKDGN101BOCUR
Pastreoide_166	GCKDGN102C8IY2
Pastreoide_167	GCKDGN101A2JR9
Pastreoide_168	GCKDGN101AWUT4
Pastreoide_169	GCKDGN101A4ILS
Pastreoide_170	GCKDGN101BNIWR
Pastreoide_171	GCKDGN102C9XVK
Pastreoide_172	GCKDGN101BNEOV
Pastreoide_173	GCKDGN102D3OR7
Pastreoide_174	GCKDGN101BD7CO
Pastreoide_175	GCKDGN101AUKUK
Pastreoide_176	GCKDGN101A2DX5
Pastreoide_177	GCKDGN102D3GOW
Pastreoide_178	GCKDGN101AP5C7
Pastreoide_179	GCKDGN101AJ523
Pastreoide_180	GCKDGN101AVOLW
Pastreoide_181	GCKDGN101BF6WZ
Pastreoide_182	GCKDGN101AXFYK
Pastreoide_183	GCKDGN101AVEXQ
Pastreoide_184	GCKDGN101AT6P5
Pastreoide_185	GCKDGN102C6ZHM
Pastreoide_186	GCKDGN101A8XHS
Pastreoide_187	GCKDGN101BYC7E
Pastreoide_188	GCKDGN101A0ZFB
Pastreoide_189	GCKDGN101BQUH4
Pastreoide_190	GCKDGN101ATV5Z
Pastreoide_191	GCKDGN102C7G0K
Pastreoide_192	GCKDGN101BPUBG
Pastreoide_193	GCKDGN101BF7TO
Pastreoide_194	GCKDGN101AWNY0
Pastreoide_195	GCKDGN101B1P3Z
Pastreoide_196	GCKDGN101BMVZ4
Pastreoide_197	GCKDGN101BUMT5
Pastreoide_198	GCKDGN101AR78W
Pastreoide_199	GCKDGN101BETIY
Pastreoide_200	GCKDGN101A3AVK
Pastreoide_201	GCKDGN101BX1GX
Pastreoide_202	GCKDGN101A44VH
Pastreoide_203	GCKDGN101CK0MB
Pastreoide_204	GCKDGN102C3AOK
Pastreoide_205	GCKDGN101B9YLL
Pastreoide_206	GCKDGN102C92OR
Pastreoide_207	GCKDGN101AYHWS
Pastreoide_208	GCKDGN101BWBJO
Pastreoide_209	GCKDGN101BUH2O
Pastreoide_210	GCKDGN101BM8VW
Pastreoide_211	GCKDGN101BVR35
Pastreoide_212	GCKDGN101AST9C
Pastreoide_213	GCKDGN101B86BQ
Pastreoide_214	GCKDGN101AW6OE
Pastreoide_215	GCKDGN101CHFCF
Pastreoide_216	GCKDGN102D3BHX
Pastreoide_217	GCKDGN102C7FFX
Pastreoide_218	GCKDGN101BQ6O1
Pastreoide_219	GCKDGN101BSS20
Pastreoide_220	GCKDGN101B1434
Pastreoide_221	GCKDGN101BN6F9
Pastreoide_222	GCKDGN101CLKQ1
Pastreoide_223	GCKDGN102D3QBB
Pastreoide_224	GCKDGN101AQBWB
Pastreoide_225	GCKDGN101A33VX
Pastreoide_226	GCKDGN102C52OS
Pastreoide_227	GCKDGN101BKFC1
Pastreoide_228	GCKDGN102D629B
Pastreoide_229	GCKDGN101CIQ28
Pastreoide_230	GCKDGN101BW595
Pastreoide_231	GCKDGN101A6RZZ
Pastreoide_232	GCKDGN101CBMGK
Pastreoide_233	GCKDGN101B7N7L
Pastreoide_234	GCKDGN101A9JO7
Pastreoide_235	GCKDGN101AMAI9
Pastreoide_236	GCKDGN101AK5LZ
Pastreoide_237	GCKDGN102C6QK0
Pastreoide_238	GCKDGN102C4GOM
Pastreoide_239	GCKDGN101BPVJL
Pastreoide_240	GCKDGN101B2165
Pastreoide_241	GCKDGN101BBAWC
Pastreoide_242	GCKDGN101BP9E7
Pastreoide_243	GCKDGN101BR85M
Pastreoide_244	GCKDGN101ALOCF
Pastreoide_245	GCKDGN101BB95I
Pastreoide_246	GCKDGN102C86U3
Pastreoide_247	GCKDGN101BORTW
Pastreoide_248	GCKDGN101CHT6M
Pastreoide_249	GCKDGN101B016U
Pastreoide_250	GCKDGN101BCVE9
Pastreoide_251	GCKDGN101CKOI1
Pastreoide_252	GCKDGN101A4Q5O
Pastreoide_253	GCKDGN102C94IT
Pastreoide_254	GCKDGN102C4LM4
Pastreoide_255	GCKDGN101BOPSP
Pastreoide_256	GCKDGN101BJCLI
Pastreoide_257	GCKDGN101AVN07
Pastreoide_258	GCKDGN102D0VPJ
Pastreoide_259	GCKDGN101BQTHL
Pastreoide_260	GCKDGN102D14C3
Pastreoide_261	GCKDGN101AOT31
Pastreoide_262	GCKDGN101AJ0GF
Pastreoide_263	GCKDGN101AT3AD
Pastreoide_264	GCKDGN101BN1WM
Pastreoide_265	GCKDGN101AQ8W8
Pastreoide_266	GCKDGN102D5OMU
Pastreoide_267	GCKDGN101CDTE8
Pastreoide_268	GCKDGN101ATKU0
Pastreoide_269	GCKDGN101A1O0W
Pastreoide_270	GCKDGN101ALGZA
Pastreoide_271	GCKDGN101A9BSA
Pastreoide_272	GCKDGN101B5X4H
Pastreoide_273	GCKDGN101AZEHP
Pastreoide_274	GCKDGN101BI2LT
Pastreoide_275	GCKDGN102D68EG
Pastreoide_276	GCKDGN101ARSD9
Pastreoide_277	GCKDGN101B50P8
Pastreoide_278	GCKDGN101BRSBU
Pastreoide_279	GCKDGN101BSDK4
Pastreoide_280	GCKDGN101BZN1J
Pastreoide_281	GCKDGN102D2228
Pastreoide_282	GCKDGN101CEM5R
Pastreoide_283	GCKDGN101BE8LQ
Pastreoide_284	GCKDGN101AWURK
Pastreoide_285	GCKDGN101CI5OV
Pastreoide_286	GCKDGN102C6R4K
Pastreoide_287	GCKDGN101BUY5V
Pastreoide_288	GCKDGN101BWSAD
Pastreoide_289	GCKDGN101AUS1V
Pastreoide_290	GCKDGN101BCD3I
Pastreoide_291	GCKDGN101BNE9Q
Pastreoide_292	GCKDGN101B4KLQ
Pastreoide_293	GCKDGN101AN72O
Pastreoide_294	GCKDGN101ATQYC
Pastreoide_295	GCKDGN101B6LHL
Pastreoide_296	GCKDGN101BZ6OS
Pastreoide_297	GCKDGN101A9S95
Pastreoide_298	GCKDGN101A67QA
Pastreoide_299	GCKDGN101AU6R5
Pastreoide_300	GCKDGN101BNJQ3
Pastreoide_301	GCKDGN101BN68P
Pastreoide_302	GCKDGN101BFEM2
Pastreoide_303	GCKDGN101A56R5
Pastreoide_304	GCKDGN101BJJEX
Pastreoide_305	GCKDGN102C8MPB
Pastreoide_306	GCKDGN101CLEW2
Pastreoide_307	GCKDGN101BFSXB
Pastreoide_308	GCKDGN102C90WZ
Pastreoide_309	GCKDGN101AWE6A
Pastreoide_310	GCKDGN101B0LLF
Pastreoide_311	GCKDGN101CC3MK
Pastreoide_312	GCKDGN102D0WSA
Pastreoide_313	GCKDGN101A65J4
Pastreoide_314	GCKDGN102D2L8R
Pastreoide_315	GCKDGN101B0SRJ
Pastreoide_316	GCKDGN101CITRR
Pastreoide_317	GCKDGN101CD9KQ
Pastreoide_318	GCKDGN102D1S32
Pastreoide_319	GCKDGN101B0Z8D
Pastreoide_320	GCKDGN101B47UQ
Pastreoide_321	GCKDGN101AW5SM
Pastreoide_322	GCKDGN101BZVS5
Pastreoide_323	GCKDGN101AL671
Pastreoide_324	GCKDGN101BOTBW
Pastreoide_325	GCKDGN101BWRZ6
Pastreoide_326	GCKDGN101AMKEV
Pastreoide_327	GCKDGN101B5BY8
Pastreoide_328	GCKDGN101BBYSN
Pastreoide_329	GCKDGN101CDB0Q
Pastreoide_330	GCKDGN101AZ0X3
Pastreoide_331	GCKDGN101A8LD2
Pastreoide_332	GCKDGN101BSJXE
Pastreoide_333	GCKDGN101BOEHK
Pastreoide_334	GCKDGN101AYHFF
Pastreoide_335	GCKDGN101BXOR6
Pastreoide_336	GCKDGN102D5NGI
Pastreoide_337	GCKDGN101BC5IL
Pastreoide_338	GCKDGN101CIW71
Pastreoide_339	GCKDGN101BUUMI
Pastreoide_340	GCKDGN101B1FVL
Pastreoide_341	GCKDGN101B3UA6
Pastreoide_342	GCKDGN101AQF2U
Pastreoide_343	GCKDGN101BKZS6
Pastreoide_344	GCKDGN101BQGPT
Pastreoide_345	GCKDGN101B4XKF
Pastreoide_346	GCKDGN101AYDXY
Pastreoide_347	GCKDGN101A177T
Pastreoide_348	GCKDGN101A5BBQ
Pastreoide_349	GCKDGN101BN0EW
Pastreoide_350	GCKDGN101BMS85
Pastreoide_351	GCKDGN101ARV7N
Pastreoide_352	GCKDGN101B8UN5
Pastreoide_353	GCKDGN101ATEEL
Pastreoide_354	GCKDGN101BVMKZ
Pastreoide_355	GCKDGN101ATPBN
Pastreoide_356	GCKDGN101BZRB1
Pastreoide_357	GCKDGN101BWC9J
Pastreoide_358	GCKDGN101BT0YZ
Pastreoide_359	GCKDGN101CKFC9
Pastreoide_360	GCKDGN101A9DBW
Pastreoide_361	GCKDGN101B1B78
Pastreoide_362	GCKDGN101CFW1X
Pastreoide_363	GCKDGN101A08WT
Pastreoide_364	GCKDGN101BJ2KF
Pastreoide_365	GCKDGN101B8RT1
Pastreoide_366	GCKDGN101BJPVZ
Pastreoide_367	GCKDGN102C4E9J
Pastreoide_368	GCKDGN101A2AOO
Pastreoide_369	GCKDGN101BMT40
Pastreoide_370	GCKDGN101AVMXJ
Pastreoide_371	GCKDGN101A9KYL
Pastreoide_372	GCKDGN101BD51A
Pastreoide_373	GCKDGN101CGSKE
Pastreoide_374	GCKDGN102C7UEB
Pastreoide_375	GCKDGN102C7GVG
Pastreoide_376	GCKDGN101B7L0Z
Pastreoide_377	GCKDGN101AVQGJ
Pastreoide_378	GCKDGN101BAI8G
Pastreoide_379	GCKDGN101CFO06
