Ofaveolata_153	comp978_c0_seq1
Ofaveolata_154	comp981_c0_seq1
Ofaveolata_155	comp982_c0_seq1
Ofaveolata_156	comp985_c0_seq1
Ofaveolata_157	comp987_c0_seq1
Ofaveolata_158	comp997_c0_seq1
Ofaveolata_159	comp998_c0_seq1
Ofaveolata_160	comp1007_c0_seq1
Ofaveolata_161	comp1010_c0_seq1
Ofaveolata_162	comp1011_c0_seq1
Ofaveolata_163	comp1015_c0_seq1
Ofaveolata_164	comp1020_c0_seq1
Ofaveolata_165	comp1024_c0_seq1
Ofaveolata_166	comp1027_c0_seq1
Ofaveolata_167	comp1029_c0_seq1
Ofaveolata_168	comp1029_c0_seq2
Ofaveolata_169	comp1030_c0_seq1
Ofaveolata_170	comp1031_c0_seq1
Ofaveolata_171	comp1034_c0_seq1
Ofaveolata_172	comp1052_c0_seq1
Ofaveolata_173	comp1054_c0_seq1
Ofaveolata_174	comp1056_c0_seq1
Ofaveolata_175	comp1063_c0_seq1
Ofaveolata_176	comp1068_c0_seq1
Ofaveolata_177	comp1072_c0_seq1
Ofaveolata_178	comp1080_c0_seq1
Ofaveolata_179	comp1096_c0_seq1
Ofaveolata_180	comp1136_c0_seq1
Ofaveolata_181	comp1141_c0_seq1
Ofaveolata_182	comp1158_c0_seq1
Ofaveolata_183	comp1175_c0_seq1
Ofaveolata_184	comp1189_c0_seq1
Ofaveolata_185	comp1190_c0_seq1
Ofaveolata_186	comp1209_c0_seq1
Ofaveolata_187	comp1209_c0_seq2
Ofaveolata_188	comp1211_c0_seq1
Ofaveolata_189	comp1212_c0_seq1
Ofaveolata_190	comp1214_c0_seq1
Ofaveolata_191	comp1230_c0_seq1
Ofaveolata_192	comp1240_c0_seq1
Ofaveolata_193	comp1248_c0_seq1
Ofaveolata_194	comp1253_c0_seq1
Ofaveolata_195	comp1258_c0_seq1
Ofaveolata_196	comp1267_c0_seq1
Ofaveolata_197	comp1279_c0_seq1
Ofaveolata_198	comp1284_c0_seq1
Ofaveolata_199	comp1285_c0_seq1
Ofaveolata_200	comp1294_c0_seq1
Ofaveolata_201	comp1298_c0_seq1
Ofaveolata_202	comp1299_c0_seq1
Ofaveolata_203	comp1306_c0_seq1
Ofaveolata_204	comp1307_c0_seq1
Ofaveolata_205	comp1320_c0_seq1
Ofaveolata_206	comp1322_c0_seq1
Ofaveolata_207	comp1366_c0_seq1
Ofaveolata_208	comp1367_c0_seq1
Ofaveolata_209	comp1367_c0_seq2
Ofaveolata_210	comp1372_c0_seq1
Ofaveolata_211	comp1379_c0_seq1
Ofaveolata_212	comp1393_c0_seq1
Ofaveolata_213	comp1398_c0_seq1
Ofaveolata_214	comp1408_c0_seq1
Ofaveolata_215	comp1427_c0_seq1
Ofaveolata_216	comp1434_c0_seq1
Ofaveolata_217	comp1449_c0_seq1
Ofaveolata_218	comp1460_c0_seq1
Ofaveolata_219	comp1471_c0_seq1
Ofaveolata_220	comp1475_c0_seq1
Ofaveolata_221	comp1481_c0_seq1
Ofaveolata_222	comp1482_c0_seq1
Ofaveolata_223	comp1491_c0_seq1
Ofaveolata_224	comp1496_c0_seq1
Ofaveolata_225	comp1502_c0_seq1
Ofaveolata_226	comp1512_c0_seq1
Ofaveolata_227	comp1518_c0_seq1
Ofaveolata_228	comp1546_c0_seq1
Ofaveolata_229	comp1555_c0_seq1
Ofaveolata_230	comp1559_c0_seq1
Ofaveolata_231	comp1576_c0_seq1
Ofaveolata_232	comp1577_c0_seq1
Ofaveolata_233	comp1590_c0_seq1
Ofaveolata_234	comp1596_c0_seq1
Ofaveolata_235	comp1599_c0_seq1
Ofaveolata_236	comp1600_c0_seq1
Ofaveolata_237	comp1602_c0_seq1
Ofaveolata_238	comp1603_c0_seq1
Ofaveolata_239	comp1605_c0_seq1
Ofaveolata_240	comp1618_c0_seq1
Ofaveolata_241	comp1620_c0_seq1
Ofaveolata_242	comp1622_c0_seq1
Ofaveolata_243	comp1624_c0_seq1
Ofaveolata_244	comp1627_c0_seq1
Ofaveolata_245	comp1629_c0_seq1
Ofaveolata_246	comp1633_c0_seq1
Ofaveolata_247	comp1636_c0_seq1
Ofaveolata_248	comp1638_c0_seq1
Ofaveolata_249	comp1651_c0_seq1
Ofaveolata_250	comp1653_c0_seq1
Ofaveolata_251	comp1682_c0_seq1
Ofaveolata_252	comp1686_c0_seq1
Ofaveolata_253	comp1691_c0_seq1
Ofaveolata_254	comp1692_c0_seq1
Ofaveolata_255	comp1695_c0_seq1
Ofaveolata_256	comp1708_c0_seq1
Ofaveolata_257	comp1712_c0_seq1
Ofaveolata_258	comp1714_c0_seq1
Ofaveolata_259	comp1721_c0_seq1
Ofaveolata_260	comp1728_c0_seq1
Ofaveolata_261	comp1733_c0_seq1
Ofaveolata_262	comp1740_c0_seq1
Ofaveolata_263	comp1747_c0_seq1
Ofaveolata_264	comp1749_c0_seq1
Ofaveolata_265	comp1750_c0_seq1
Ofaveolata_266	comp1759_c0_seq1
Ofaveolata_267	comp1768_c0_seq1
Ofaveolata_268	comp1773_c0_seq1
Ofaveolata_269	comp1776_c0_seq1
Ofaveolata_270	comp1783_c0_seq1
Ofaveolata_271	comp1791_c0_seq2
Ofaveolata_272	comp1793_c0_seq1
Ofaveolata_273	comp1812_c0_seq1
Ofaveolata_274	comp1813_c0_seq1
Ofaveolata_275	comp1814_c0_seq1
Ofaveolata_276	comp1815_c0_seq1
Ofaveolata_277	comp1821_c0_seq1
Ofaveolata_278	comp1834_c0_seq1
Ofaveolata_279	comp1838_c0_seq1
Ofaveolata_280	comp1840_c0_seq1
Ofaveolata_281	comp1846_c0_seq1
Ofaveolata_282	comp1848_c0_seq1
Ofaveolata_283	comp1848_c0_seq2
Ofaveolata_284	comp1852_c0_seq1
Ofaveolata_285	comp1858_c0_seq1
Ofaveolata_286	comp1860_c0_seq1
Ofaveolata_287	comp1873_c0_seq1
Ofaveolata_288	comp1875_c0_seq1
Ofaveolata_289	comp1881_c0_seq1
Ofaveolata_290	comp1884_c0_seq1
Ofaveolata_291	comp1889_c0_seq1
Ofaveolata_292	comp1913_c0_seq1
Ofaveolata_293	comp1918_c0_seq1
Ofaveolata_294	comp1921_c0_seq1
Ofaveolata_295	comp1926_c0_seq1
Ofaveolata_296	comp1935_c0_seq1
Ofaveolata_297	comp1940_c0_seq1
Ofaveolata_298	comp1947_c0_seq1
Ofaveolata_299	comp1949_c0_seq1
Ofaveolata_300	comp1951_c0_seq1
Ofaveolata_301	comp1967_c0_seq1
Ofaveolata_302	comp1969_c0_seq1
Ofaveolata_303	comp1970_c0_seq1
Ofaveolata_304	comp1978_c0_seq1
Ofaveolata_305	comp1991_c0_seq1
Ofaveolata_306	comp1998_c0_seq1
Ofaveolata_307	comp2001_c0_seq1
Ofaveolata_308	comp2005_c0_seq1
Ofaveolata_309	comp2007_c0_seq1
Ofaveolata_310	comp2011_c0_seq1
Ofaveolata_311	comp2012_c0_seq1
Ofaveolata_312	comp2017_c0_seq1
Ofaveolata_313	comp2024_c0_seq1
Ofaveolata_314	comp2039_c0_seq1
Ofaveolata_315	comp2047_c0_seq1
Ofaveolata_316	comp2048_c0_seq1
Ofaveolata_317	comp2050_c0_seq1
Ofaveolata_318	comp2053_c0_seq1
Ofaveolata_319	comp2056_c0_seq1
Ofaveolata_320	comp2058_c0_seq1
Ofaveolata_321	comp2065_c0_seq1
Ofaveolata_322	comp2068_c0_seq1
Ofaveolata_323	comp2079_c0_seq1
Ofaveolata_324	comp2082_c0_seq1
Ofaveolata_325	comp2085_c0_seq1
Ofaveolata_326	comp2089_c0_seq1
Ofaveolata_327	comp2091_c0_seq1
Ofaveolata_328	comp2094_c0_seq1
Ofaveolata_329	comp2096_c0_seq1
Ofaveolata_330	comp2097_c0_seq1
Ofaveolata_331	comp2106_c0_seq1
Ofaveolata_332	comp2112_c0_seq1
Ofaveolata_333	comp2121_c0_seq1
Ofaveolata_334	comp2152_c0_seq1
Ofaveolata_335	comp2159_c0_seq1
Ofaveolata_336	comp2161_c0_seq1
Ofaveolata_337	comp2174_c0_seq1
Ofaveolata_338	comp2177_c0_seq1
Ofaveolata_339	comp2182_c0_seq1
Ofaveolata_340	comp2191_c0_seq1
Ofaveolata_341	comp2207_c0_seq1
Ofaveolata_342	comp2211_c0_seq1
Ofaveolata_343	comp2238_c0_seq1
Ofaveolata_344	comp2240_c0_seq1
Ofaveolata_345	comp2245_c0_seq1
Ofaveolata_346	comp2255_c0_seq1
Ofaveolata_347	comp2262_c0_seq1
Ofaveolata_348	comp2275_c0_seq1
Ofaveolata_349	comp2297_c0_seq1
Ofaveolata_350	comp2300_c0_seq1
Ofaveolata_351	comp2305_c0_seq1
Ofaveolata_352	comp2310_c0_seq1
Ofaveolata_353	comp2316_c0_seq1
Ofaveolata_354	comp2321_c0_seq1
Ofaveolata_355	comp2332_c0_seq1
Ofaveolata_356	comp2335_c0_seq1
Ofaveolata_357	comp2345_c0_seq1
Ofaveolata_358	comp2355_c0_seq1
Ofaveolata_359	comp2362_c0_seq1
Ofaveolata_360	comp2366_c0_seq1
Ofaveolata_361	comp2375_c0_seq1
Ofaveolata_362	comp2391_c0_seq1
Ofaveolata_363	comp2412_c0_seq1
Ofaveolata_364	comp2415_c0_seq1
Ofaveolata_365	comp2416_c0_seq1
Ofaveolata_366	comp2418_c0_seq1
Ofaveolata_367	comp2423_c0_seq1
Ofaveolata_368	comp2424_c0_seq1
Ofaveolata_369	comp2440_c0_seq1
Ofaveolata_370	comp2445_c0_seq1
Ofaveolata_371	comp2453_c0_seq1
Ofaveolata_372	comp2455_c0_seq1
Ofaveolata_373	comp2461_c0_seq1
Ofaveolata_374	comp2465_c0_seq1
Ofaveolata_375	comp2469_c0_seq1
Ofaveolata_376	comp2486_c0_seq1
Ofaveolata_377	comp2497_c0_seq1
Ofaveolata_378	comp2503_c0_seq1
Ofaveolata_379	comp2510_c0_seq1
Ofaveolata_380	comp2527_c0_seq1
Ofaveolata_381	comp2528_c0_seq1
Ofaveolata_382	comp2533_c0_seq1
Ofaveolata_383	comp2534_c0_seq1
Ofaveolata_384	comp2536_c0_seq1
