Pdamicorni_153	bu_91849.1_c153
Pdamicorni_154	bu_91849.1_c154
Pdamicorni_155	bu_91849.1_c155
Pdamicorni_156	bu_91849.1_c156
Pdamicorni_157	bu_91849.1_c157
Pdamicorni_158	bu_91849.1_c158
Pdamicorni_159	bu_91849.1_c159
Pdamicorni_160	bu_91849.1_c160
Pdamicorni_161	bu_91849.1_c161
Pdamicorni_162	bu_91849.1_c162
Pdamicorni_163	bu_91849.1_c163
Pdamicorni_164	bu_91849.1_c164
Pdamicorni_165	bu_91849.1_c165
Pdamicorni_166	bu_91849.1_c166
Pdamicorni_167	bu_91849.1_c167
Pdamicorni_168	bu_91849.1_c168
Pdamicorni_169	bu_91849.1_c169
Pdamicorni_170	bu_91849.1_c170
Pdamicorni_171	bu_91849.1_c171
Pdamicorni_172	bu_91849.1_c172
Pdamicorni_173	bu_91849.1_c173
Pdamicorni_174	bu_91849.1_c174
Pdamicorni_175	bu_91849.1_c175
Pdamicorni_176	bu_91849.1_c176
Pdamicorni_177	bu_91849.1_c177
Pdamicorni_178	bu_91849.1_c178
Pdamicorni_179	bu_91849.1_c179
Pdamicorni_180	bu_91849.1_c180
Pdamicorni_181	bu_91849.1_c181
Pdamicorni_182	bu_91849.1_c182
Pdamicorni_183	bu_91849.1_c183
Pdamicorni_184	bu_91849.1_c184
Pdamicorni_185	bu_91849.1_c185
Pdamicorni_186	bu_91849.1_c186
Pdamicorni_187	bu_91849.1_c187
Pdamicorni_188	bu_91849.1_c188
Pdamicorni_189	bu_91849.1_c189
Pdamicorni_190	bu_91849.1_c190
Pdamicorni_191	bu_91849.1_c191
Pdamicorni_192	bu_91849.1_c192
Pdamicorni_193	bu_91849.1_c193
Pdamicorni_194	bu_91849.1_c194
Pdamicorni_195	bu_91849.1_c195
Pdamicorni_196	bu_91849.1_c196
Pdamicorni_197	bu_91849.1_c197
Pdamicorni_198	bu_91849.1_c198
Pdamicorni_199	bu_91849.1_c199
