Pdaedalea_161	c11546_g1_i1
Pdaedalea_162	c11551_g1_i1
Pdaedalea_163	c11592_g1_i1
Pdaedalea_164	c11549_g1_i1
Pdaedalea_165	c11562_g1_i1
Pdaedalea_166	c11536_g1_i1
Pdaedalea_167	c11532_g1_i2
Pdaedalea_168	c11579_g1_i1
Pdaedalea_169	c11531_g1_i1
Pdaedalea_170	c11537_g1_i1
Pdaedalea_171	c11575_g1_i1
Pdaedalea_172	c11608_g1_i1
Pdaedalea_173	c11597_g1_i1
Pdaedalea_174	c11547_g1_i1
Pdaedalea_175	c11569_g1_i1
Pdaedalea_176	c11612_g1_i1
Pdaedalea_177	c11578_g1_i3
Pdaedalea_178	c11571_g1_i1
Pdaedalea_179	c11600_g1_i1
Pdaedalea_180	c11607_g1_i1
Pdaedalea_181	c11556_g1_i1
Pdaedalea_182	c11578_g1_i1
Pdaedalea_183	c11563_g1_i1
Pdaedalea_184	c11587_g1_i2
Pdaedalea_185	c11615_g1_i1
Pdaedalea_186	c11561_g1_i1
Pdaedalea_187	c11589_g1_i1
Pdaedalea_188	c11528_g1_i1
Pdaedalea_189	c11591_g1_i1
Pdaedalea_190	c11614_g1_i2
Pdaedalea_191	c11610_g1_i1
Pdaedalea_192	c11534_g1_i1
Pdaedalea_193	c11599_g1_i1
Pdaedalea_194	c11581_g1_i1
Pdaedalea_195	c11616_g1_i1
Pdaedalea_196	c11575_g2_i1
Pdaedalea_197	c11590_g1_i1
Pdaedalea_198	c11601_g1_i1
Pdaedalea_199	c11539_g1_i2
Pdaedalea_200	c11605_g1_i1
Pdaedalea_201	c11566_g1_i1
Pdaedalea_202	c11583_g1_i1
Pdaedalea_203	c11602_g1_i1
Pdaedalea_204	c11529_g1_i1
Pdaedalea_205	c11611_g1_i1
Pdaedalea_206	c11614_g1_i1
Pdaedalea_207	c11553_g1_i2
Pdaedalea_208	c11588_g1_i1
Pdaedalea_209	c11568_g1_i1
Pdaedalea_210	c11575_g1_i2
Pdaedalea_211	c11568_g1_i3
Pdaedalea_212	c11613_g1_i1
Pdaedalea_213	c11609_g1_i1
Pdaedalea_214	c11559_g1_i2
Pdaedalea_215	c11583_g2_i1
Pdaedalea_216	c11569_g3_i1
Pdaedalea_217	c11528_g1_i2
Pdaedalea_218	c11531_g1_i2
Pdaedalea_219	c11595_g1_i1
Pdaedalea_220	c11569_g3_i2
Pdaedalea_221	c11565_g1_i2
Pdaedalea_222	c11597_g1_i2
Pdaedalea_223	c11573_g1_i1
Pdaedalea_224	c11532_g1_i1
Pdaedalea_225	c11550_g1_i1
Pdaedalea_226	c11569_g2_i1
Pdaedalea_227	c11572_g1_i1
Pdaedalea_228	c11552_g1_i1
Pdaedalea_229	c11574_g1_i1
Pdaedalea_230	c11593_g1_i1
Pdaedalea_231	c11587_g1_i1
Pdaedalea_232	c11585_g1_i1
Pdaedalea_233	c11557_g1_i1
Pdaedalea_234	c11564_g1_i1
Pdaedalea_235	c11604_g1_i2
Pdaedalea_236	c11544_g1_i1
Pdaedalea_237	c11546_g2_i1
Pdaedalea_238	c11542_g1_i2
Pdaedalea_239	c11582_g1_i1
Pdaedalea_240	c11538_g1_i1
Pdaedalea_241	c11548_g1_i1
Pdaedalea_242	c11560_g1_i1
Pdaedalea_243	c11558_g1_i1
Pdaedalea_244	c11574_g1_i2
Pdaedalea_245	c11594_g1_i2
Pdaedalea_246	c11555_g1_i1
Pdaedalea_247	c11554_g1_i1
Pdaedalea_248	c11596_g1_i1
Pdaedalea_249	c11598_g1_i2
Pdaedalea_250	c11556_g1_i2
Pdaedalea_251	c11563_g1_i2
Pdaedalea_252	c11578_g1_i2
Pdaedalea_253	c11603_g1_i1
Pdaedalea_254	c11577_g1_i1
Pdaedalea_255	c11589_g1_i2
Pdaedalea_256	c11541_g1_i1
Pdaedalea_257	c11654_g1_i2
Pdaedalea_258	c11660_g1_i1
Pdaedalea_259	c11637_g1_i2
Pdaedalea_260	c11689_g1_i1
Pdaedalea_261	c11699_g1_i1
Pdaedalea_262	c11631_g1_i1
Pdaedalea_263	c11694_g1_i2
Pdaedalea_264	c11672_g1_i2
Pdaedalea_265	c11679_g1_i1
Pdaedalea_266	c11622_g1_i1
Pdaedalea_267	c11664_g1_i2
Pdaedalea_268	c11701_g1_i1
Pdaedalea_269	c11643_g1_i1
Pdaedalea_270	c11641_g1_i1
