Gacrhelia_161	c60601_g1_i2
Gacrhelia_162	c60601_g1_i3
Gacrhelia_163	c60601_g1_i4
Gacrhelia_164	c60540_g2_i1
Gacrhelia_165	c60540_g4_i1
Gacrhelia_166	c60540_g4_i2
Gacrhelia_167	c60540_g5_i1
Gacrhelia_168	c60540_g5_i2
Gacrhelia_169	c60540_g5_i4
Gacrhelia_170	c61106_g1_i1
Gacrhelia_171	c61106_g1_i2
Gacrhelia_172	c61106_g2_i1
Gacrhelia_173	c61106_g3_i1
Gacrhelia_174	c60207_g2_i1
Gacrhelia_175	c60207_g2_i2
Gacrhelia_176	c60207_g2_i3
Gacrhelia_177	c60207_g2_i5
Gacrhelia_178	c60207_g2_i6
Gacrhelia_179	c60568_g1_i2
Gacrhelia_180	c60568_g1_i3
Gacrhelia_181	c60568_g1_i4
Gacrhelia_182	c60568_g1_i5
Gacrhelia_183	c60568_g1_i6
Gacrhelia_184	c60568_g1_i7
Gacrhelia_185	c60568_g1_i8
Gacrhelia_186	c60568_g1_i10
Gacrhelia_187	c60531_g1_i1
Gacrhelia_188	c60531_g1_i3
Gacrhelia_189	c60531_g1_i4
Gacrhelia_190	c60531_g1_i5
Gacrhelia_191	c60531_g1_i6
Gacrhelia_192	c60531_g1_i7
Gacrhelia_193	c60531_g1_i9
Gacrhelia_194	c60531_g1_i11
Gacrhelia_195	c60531_g1_i12
Gacrhelia_196	c60531_g1_i13
Gacrhelia_197	c60531_g1_i14
Gacrhelia_198	c60531_g1_i15
Gacrhelia_199	c60531_g1_i16
Gacrhelia_200	c60531_g1_i17
Gacrhelia_201	c60531_g1_i18
Gacrhelia_202	c60531_g1_i19
Gacrhelia_203	c60531_g1_i20
Gacrhelia_204	c60340_g1_i1
Gacrhelia_205	c60340_g1_i2
Gacrhelia_206	c60631_g1_i1
Gacrhelia_207	c60631_g6_i1
Gacrhelia_208	c60631_g9_i1
Gacrhelia_209	c60868_g1_i3
Gacrhelia_210	c60868_g1_i4
Gacrhelia_211	c60868_g1_i5
Gacrhelia_212	c60868_g1_i6
Gacrhelia_213	c60142_g1_i1
Gacrhelia_214	c60142_g2_i2
Gacrhelia_215	c60142_g2_i4
Gacrhelia_216	c60142_g2_i5
Gacrhelia_217	c60142_g3_i1
Gacrhelia_218	c60142_g2_i6
Gacrhelia_219	c60142_g2_i7
Gacrhelia_220	c60142_g2_i8
Gacrhelia_221	c60142_g3_i2
Gacrhelia_222	c60142_g2_i9
Gacrhelia_223	c60142_g3_i3
Gacrhelia_224	c60142_g4_i1
Gacrhelia_225	c60142_g2_i10
Gacrhelia_226	c60142_g2_i12
Gacrhelia_227	c60142_g4_i2
Gacrhelia_228	c60142_g2_i13
Gacrhelia_229	c60142_g2_i14
Gacrhelia_230	c60142_g4_i3
Gacrhelia_231	c60142_g2_i15
Gacrhelia_232	c60142_g2_i17
Gacrhelia_233	c60167_g2_i1
Gacrhelia_234	c60718_g1_i1
Gacrhelia_235	c60718_g1_i2
Gacrhelia_236	c60718_g1_i3
Gacrhelia_237	c60718_g1_i4
Gacrhelia_238	c60718_g1_i5
Gacrhelia_239	c60718_g1_i6
Gacrhelia_240	c60718_g1_i7
Gacrhelia_241	c60490_g3_i4
Gacrhelia_242	c60490_g3_i5
Gacrhelia_243	c60760_g1_i1
Gacrhelia_244	c60888_g2_i2
Gacrhelia_245	c60888_g2_i5
Gacrhelia_246	c61099_g1_i1
Gacrhelia_247	c61099_g1_i2
Gacrhelia_248	c61099_g1_i3
Gacrhelia_249	c60284_g3_i1
Gacrhelia_250	c60284_g3_i2
Gacrhelia_251	c60284_g1_i6
Gacrhelia_252	c60284_g1_i7
Gacrhelia_253	c60284_g3_i3
Gacrhelia_254	c60284_g1_i8
Gacrhelia_255	c60284_g3_i4
Gacrhelia_256	c60284_g1_i9
Gacrhelia_257	c60728_g4_i2
Gacrhelia_258	c60728_g3_i2
Gacrhelia_259	c60728_g4_i6
Gacrhelia_260	c60728_g3_i3
Gacrhelia_261	c60728_g3_i4
Gacrhelia_262	c60728_g3_i5
Gacrhelia_263	c60728_g4_i9
Gacrhelia_264	c60728_g4_i11
Gacrhelia_265	c60728_g4_i14
Gacrhelia_266	c60728_g6_i3
Gacrhelia_267	c60728_g4_i16
Gacrhelia_268	c60219_g1_i2
Gacrhelia_269	c60219_g1_i4
Gacrhelia_270	c60219_g1_i6
Gacrhelia_271	c60219_g1_i8
Gacrhelia_272	c60219_g1_i9
Gacrhelia_273	c60219_g1_i12
Gacrhelia_274	c60520_g1_i1
Gacrhelia_275	c60520_g1_i2
Gacrhelia_276	c60520_g1_i10
Gacrhelia_277	c60520_g1_i11
Gacrhelia_278	c60595_g1_i1
Gacrhelia_279	c60595_g1_i2
Gacrhelia_280	c60595_g1_i3
Gacrhelia_281	c60595_g1_i4
Gacrhelia_282	c60595_g1_i5
Gacrhelia_283	c60595_g3_i1
Gacrhelia_284	c60595_g3_i2
Gacrhelia_285	c60595_g3_i4
Gacrhelia_286	c60595_g3_i5
Gacrhelia_287	c60595_g5_i1
Gacrhelia_288	c60946_g1_i1
Gacrhelia_289	c60946_g1_i3
Gacrhelia_290	c60946_g1_i4
Gacrhelia_291	c60946_g1_i5
Gacrhelia_292	c60946_g1_i6
Gacrhelia_293	c60946_g1_i7
Gacrhelia_294	c60946_g1_i8
Gacrhelia_295	c60946_g1_i9
Gacrhelia_296	c60946_g1_i10
Gacrhelia_297	c60773_g1_i1
Gacrhelia_298	c60773_g1_i2
Gacrhelia_299	c60773_g1_i3
Gacrhelia_300	c60773_g2_i2
Gacrhelia_301	c60773_g1_i5
Gacrhelia_302	c60773_g1_i7
Gacrhelia_303	c60304_g1_i1
Gacrhelia_304	c60304_g1_i2
Gacrhelia_305	c60808_g1_i1
Gacrhelia_306	c60808_g2_i1
Gacrhelia_307	c60808_g2_i5
