Mcapitata_140	lcl|c133002_g1_i1
Mcapitata_141	lcl|c133032_g1_i1
Mcapitata_142	lcl|c133098_g2_i1
Mcapitata_143	lcl|c133219_g1_i1
Mcapitata_144	lcl|c133418_g1_i1
Mcapitata_145	lcl|c133814_g2_i1
Mcapitata_146	lcl|c133876_g1_i1
Mcapitata_147	lcl|c134004_g2_i1
Mcapitata_148	lcl|c134042_g1_i1
Mcapitata_149	lcl|c134835_g2_i1
Mcapitata_150	lcl|c134972_g1_i1
Mcapitata_151	lcl|c135245_g1_i1
Mcapitata_152	lcl|c135713_g1_i1
Mcapitata_153	lcl|c135838_g1_i1
Mcapitata_154	lcl|c136362_g1_i1
Mcapitata_155	lcl|c136362_g1_i2
Mcapitata_156	lcl|c136564_g1_i3
Mcapitata_157	lcl|c136690_g1_i1
Mcapitata_158	lcl|c136846_g2_i1
Mcapitata_159	lcl|c13685_g1_i1
Mcapitata_160	lcl|c137264_g1_i1
Mcapitata_161	lcl|c13739_g1_i1
Mcapitata_162	lcl|c137405_g3_i2
Mcapitata_163	lcl|c137548_g1_i1
Mcapitata_164	lcl|c138048_g1_i1
Mcapitata_165	lcl|c138129_g1_i1
Mcapitata_166	lcl|c138256_g1_i1
Mcapitata_167	lcl|c138623_g1_i1
Mcapitata_168	lcl|c138951_g1_i1
Mcapitata_169	lcl|c139282_g1_i2
Mcapitata_170	lcl|c139575_g1_i1
Mcapitata_171	lcl|c140142_g1_i1
Mcapitata_172	lcl|c140192_g1_i1
Mcapitata_173	lcl|c140448_g1_i1
Mcapitata_174	lcl|c140450_g3_i1
Mcapitata_175	lcl|c140656_g1_i1
Mcapitata_176	lcl|c140656_g1_i2
Mcapitata_177	lcl|c140906_g2_i1
Mcapitata_178	lcl|c140906_g3_i1
Mcapitata_179	lcl|c140961_g2_i1
Mcapitata_180	lcl|c141061_g1_i1
Mcapitata_181	lcl|c141139_g1_i1
Mcapitata_182	lcl|c141195_g1_i1
Mcapitata_183	lcl|c141281_g1_i1
Mcapitata_184	lcl|c141340_g1_i1
Mcapitata_185	lcl|c141487_g1_i1
Mcapitata_186	lcl|c141649_g2_i1
Mcapitata_187	lcl|c141649_g2_i2
Mcapitata_188	lcl|c141839_g1_i1
Mcapitata_189	lcl|c141839_g1_i3
Mcapitata_190	lcl|c141989_g2_i1
Mcapitata_191	lcl|c142303_g1_i1
Mcapitata_192	lcl|c142336_g1_i1
Mcapitata_193	lcl|c142404_g3_i1
Mcapitata_194	lcl|c142464_g2_i1
Mcapitata_195	lcl|c142495_g1_i1
Mcapitata_196	lcl|c142548_g1_i1
Mcapitata_197	lcl|c142548_g1_i2
Mcapitata_198	lcl|c142793_g1_i1
Mcapitata_199	lcl|c143056_g1_i1
Mcapitata_200	lcl|c143149_g1_i1
Mcapitata_201	lcl|c143193_g2_i1
Mcapitata_202	lcl|c143267_g1_i2
Mcapitata_203	lcl|c143476_g1_i1
Mcapitata_204	lcl|c143548_g1_i1
Mcapitata_205	lcl|c143640_g1_i1
Mcapitata_206	lcl|c144440_g1_i1
Mcapitata_207	lcl|c145016_g2_i1
Mcapitata_208	lcl|c145135_g1_i1
Mcapitata_209	lcl|c145171_g1_i1
Mcapitata_210	lcl|c145576_g1_i1
Mcapitata_211	lcl|c145633_g1_i1
Mcapitata_212	lcl|c145633_g3_i1
Mcapitata_213	lcl|c145734_g1_i1
Mcapitata_214	lcl|c145784_g1_i1
Mcapitata_215	lcl|c145798_g1_i1
Mcapitata_216	lcl|c145982_g1_i1
Mcapitata_217	lcl|c145982_g3_i1
Mcapitata_218	lcl|c146019_g1_i1
Mcapitata_219	lcl|c146037_g1_i1
Mcapitata_220	lcl|c146135_g1_i1
Mcapitata_221	lcl|c146176_g1_i1
Mcapitata_222	lcl|c146279_g1_i1
Mcapitata_223	lcl|c146279_g2_i1
Mcapitata_224	lcl|c146317_g2_i1
Mcapitata_225	lcl|c146474_g1_i1
Mcapitata_226	lcl|c146560_g4_i1
Mcapitata_227	lcl|c146989_g2_i1
Mcapitata_228	lcl|c147087_g2_i1
Mcapitata_229	lcl|c147112_g2_i1
Mcapitata_230	lcl|c147213_g1_i1
Mcapitata_231	lcl|c147404_g2_i1
Mcapitata_232	lcl|c147424_g1_i1
Mcapitata_233	lcl|c147518_g1_i2
Mcapitata_234	lcl|c147665_g1_i1
Mcapitata_235	lcl|c147668_g1_i1
Mcapitata_236	lcl|c147847_g1_i1
Mcapitata_237	lcl|c147991_g1_i1
Mcapitata_238	lcl|c148048_g1_i1
Mcapitata_239	lcl|c148120_g1_i1
Mcapitata_240	lcl|c148120_g1_i2
Mcapitata_241	lcl|c148340_g1_i1
Mcapitata_242	lcl|c148563_g1_i1
Mcapitata_243	lcl|c148657_g2_i1
Mcapitata_244	lcl|c148716_g2_i1
Mcapitata_245	lcl|c149016_g1_i1
Mcapitata_246	lcl|c149130_g1_i1
Mcapitata_247	lcl|c1493_g1_i1
Mcapitata_248	lcl|c149414_g1_i1
Mcapitata_249	lcl|c149520_g1_i1
Mcapitata_250	lcl|c149577_g1_i1
Mcapitata_251	lcl|c149577_g1_i2
Mcapitata_252	lcl|c149892_g1_i1
Mcapitata_253	lcl|c150081_g1_i1
Mcapitata_254	lcl|c150645_g1_i1
Mcapitata_255	lcl|c150664_g1_i1
Mcapitata_256	lcl|c150739_g2_i1
Mcapitata_257	lcl|c151064_g1_i1
Mcapitata_258	lcl|c151092_g1_i1
Mcapitata_259	lcl|c151239_g1_i1
Mcapitata_260	lcl|c151332_g1_i1
Mcapitata_261	lcl|c151615_g1_i1
Mcapitata_262	lcl|c151656_g2_i1
Mcapitata_263	lcl|c151718_g1_i2
Mcapitata_264	lcl|c152064_g1_i1
Mcapitata_265	lcl|c152101_g1_i1
Mcapitata_266	lcl|c152452_g1_i1
Mcapitata_267	lcl|c152603_g1_i1
Mcapitata_268	lcl|c152674_g2_i1
Mcapitata_269	lcl|c152727_g1_i1
Mcapitata_270	lcl|c152893_g2_i1
Mcapitata_271	lcl|c152992_g2_i1
Mcapitata_272	lcl|c153305_g1_i1
Mcapitata_273	lcl|c153317_g1_i1
Mcapitata_274	lcl|c153317_g3_i1
Mcapitata_275	lcl|c153498_g1_i1
Mcapitata_276	lcl|c153608_g1_i1
Mcapitata_277	lcl|c153733_g1_i1
Mcapitata_278	lcl|c15377_g1_i2
Mcapitata_279	lcl|c153859_g3_i1
Mcapitata_280	lcl|c154396_g2_i1
Mcapitata_281	lcl|c154417_g1_i1
Mcapitata_282	lcl|c154760_g1_i1
Mcapitata_283	lcl|c155374_g1_i1
Mcapitata_284	lcl|c155551_g1_i1
Mcapitata_285	lcl|c155724_g2_i1
Mcapitata_286	lcl|c155778_g1_i1
Mcapitata_287	lcl|c155898_g1_i1
Mcapitata_288	lcl|c156005_g1_i1
Mcapitata_289	lcl|c156150_g1_i1
Mcapitata_290	lcl|c156319_g2_i1
Mcapitata_291	lcl|c1573_g1_i1
Mcapitata_292	lcl|c157416_g1_i1
Mcapitata_293	lcl|c157510_g4_i1
Mcapitata_294	lcl|c157520_g1_i1
Mcapitata_295	lcl|c157567_g1_i1
Mcapitata_296	lcl|c157742_g1_i1
Mcapitata_297	lcl|c157811_g1_i1
Mcapitata_298	lcl|c157925_g1_i1
Mcapitata_299	lcl|c157925_g1_i4
Mcapitata_300	lcl|c157954_g1_i1
Mcapitata_301	lcl|c157973_g2_i1
Mcapitata_302	lcl|c158067_g2_i1
Mcapitata_303	lcl|c158238_g1_i1
Mcapitata_304	lcl|c158431_g1_i1
Mcapitata_305	lcl|c158587_g1_i1
Mcapitata_306	lcl|c158658_g1_i1
Mcapitata_307	lcl|c158658_g2_i1
Mcapitata_308	lcl|c158875_g1_i2
Mcapitata_309	lcl|c158914_g2_i1
Mcapitata_310	lcl|c159040_g1_i1
Mcapitata_311	lcl|c159105_g2_i1
Mcapitata_312	lcl|c159467_g1_i1
Mcapitata_313	lcl|c160255_g1_i1
Mcapitata_314	lcl|c160280_g1_i1
Mcapitata_315	lcl|c160408_g1_i1
Mcapitata_316	lcl|c160656_g1_i1
Mcapitata_317	lcl|c160676_g1_i1
Mcapitata_318	lcl|c160913_g1_i2
Mcapitata_319	lcl|c161345_g1_i1
