Acervicorn_178	GASU01000178.1
Acervicorn_179	GASU01000179.1
Acervicorn_180	GASU01000180.1
Acervicorn_181	GASU01000181.1
Acervicorn_182	GASU01000182.1
Acervicorn_183	GASU01000183.1
Acervicorn_184	GASU01000184.1
Acervicorn_185	GASU01000185.1
Acervicorn_186	GASU01000186.1
Acervicorn_187	GASU01000187.1
Acervicorn_188	GASU01000188.1
Acervicorn_189	GASU01000189.1
Acervicorn_190	GASU01000190.1
Acervicorn_191	GASU01000191.1
Acervicorn_192	GASU01000192.1
Acervicorn_193	GASU01000193.1
Acervicorn_194	GASU01000194.1
Acervicorn_195	GASU01000195.1
Acervicorn_196	GASU01000196.1
Acervicorn_197	GASU01000197.1
Acervicorn_198	GASU01000198.1
Acervicorn_199	GASU01000199.1
Acervicorn_200	GASU01000200.1
Acervicorn_201	GASU01000201.1
Acervicorn_202	GASU01000202.1
Acervicorn_203	GASU01000203.1
Acervicorn_204	GASU01000204.1
Acervicorn_205	GASU01000205.1
Acervicorn_206	GASU01000206.1
Acervicorn_207	GASU01000207.1
Acervicorn_208	GASU01000208.1
Acervicorn_209	GASU01000209.1
Acervicorn_210	GASU01000210.1
Acervicorn_211	GASU01000211.1
Acervicorn_212	GASU01000212.1
Acervicorn_213	GASU01000213.1
Acervicorn_214	GASU01000214.1
Acervicorn_215	GASU01000215.1
Acervicorn_216	GASU01000216.1
Acervicorn_217	GASU01000217.1
Acervicorn_218	GASU01000218.1
Acervicorn_219	GASU01000219.1
Acervicorn_220	GASU01000220.1
Acervicorn_221	GASU01000221.1
Acervicorn_222	GASU01000222.1
Acervicorn_223	GASU01000223.1
Acervicorn_224	GASU01000224.1
Acervicorn_225	GASU01000225.1
Acervicorn_226	GASU01000226.1
Acervicorn_227	GASU01000227.1
Acervicorn_228	GASU01000228.1
Acervicorn_229	GASU01000229.1
Acervicorn_230	GASU01000230.1
Acervicorn_231	GASU01000231.1
Acervicorn_232	GASU01000232.1
Acervicorn_233	GASU01000233.1
Acervicorn_234	GASU01000234.1
Acervicorn_235	GASU01000235.1
Acervicorn_236	GASU01000236.1
Acervicorn_237	GASU01000237.1
Acervicorn_238	GASU01000238.1
Acervicorn_239	GASU01000239.1
Acervicorn_240	GASU01000240.1
Acervicorn_241	GASU01000241.1
Acervicorn_242	GASU01000242.1
Acervicorn_243	GASU01000243.1
Acervicorn_244	GASU01000244.1
Acervicorn_245	GASU01000245.1
Acervicorn_246	GASU01000246.1
Acervicorn_247	GASU01000247.1
Acervicorn_248	GASU01000248.1
Acervicorn_249	GASU01000249.1
Acervicorn_250	GASU01000250.1
Acervicorn_251	GASU01000251.1
Acervicorn_252	GASU01000252.1
Acervicorn_253	GASU01000253.1
Acervicorn_254	GASU01000254.1
Acervicorn_255	GASU01000255.1
Acervicorn_256	GASU01000256.1
Acervicorn_257	GASU01000257.1
Acervicorn_258	GASU01000258.1
Acervicorn_259	GASU01000259.1
Acervicorn_260	GASU01000260.1
Acervicorn_261	GASU01000261.1
Acervicorn_262	GASU01000262.1
Acervicorn_263	GASU01000263.1
Acervicorn_264	GASU01000264.1
Acervicorn_265	GASU01000265.1
Acervicorn_266	GASU01000266.1
Acervicorn_267	GASU01000267.1
Acervicorn_268	GASU01000268.1
