Pstrigosa_146	comp57711_c0_seq1
Pstrigosa_147	comp46074_c0_seq1
Pstrigosa_148	comp56488_c0_seq1
Pstrigosa_149	comp48220_c0_seq5
Pstrigosa_150	comp57936_c0_seq4
Pstrigosa_151	comp51338_c0_seq4
Pstrigosa_152	comp53874_c0_seq3
Pstrigosa_153	comp48926_c0_seq1
Pstrigosa_154	comp47162_c0_seq1
Pstrigosa_155	comp47463_c0_seq1
Pstrigosa_156	comp50403_c0_seq1
Pstrigosa_157	comp58126_c0_seq1
Pstrigosa_158	comp55440_c0_seq1
Pstrigosa_159	comp51848_c0_seq10
Pstrigosa_160	comp53489_c0_seq2
Pstrigosa_161	comp50595_c1_seq1
Pstrigosa_162	comp51820_c0_seq1
Pstrigosa_163	comp47650_c0_seq1
Pstrigosa_164	comp53477_c0_seq3
Pstrigosa_165	comp47359_c0_seq4
Pstrigosa_166	comp46331_c0_seq1
Pstrigosa_167	comp47737_c0_seq1
Pstrigosa_168	comp57231_c0_seq4
Pstrigosa_169	comp55642_c0_seq2
Pstrigosa_170	comp57076_c0_seq1
Pstrigosa_171	comp48233_c0_seq13
Pstrigosa_172	comp50308_c0_seq3
Pstrigosa_173	comp51284_c0_seq1
Pstrigosa_174	comp58283_c0_seq3
Pstrigosa_175	comp46667_c0_seq2
Pstrigosa_176	comp52278_c0_seq1
Pstrigosa_177	comp52596_c0_seq3
Pstrigosa_178	comp56848_c0_seq5
Pstrigosa_179	comp47697_c0_seq1
Pstrigosa_180	comp53182_c0_seq2
Pstrigosa_181	comp46234_c0_seq4
Pstrigosa_182	comp52824_c0_seq1
Pstrigosa_183	comp52018_c0_seq1
Pstrigosa_184	comp56848_c0_seq4
Pstrigosa_185	comp51101_c0_seq1
Pstrigosa_186	comp47418_c0_seq2
Pstrigosa_187	comp46332_c2_seq8
Pstrigosa_188	comp55526_c0_seq1
Pstrigosa_189	comp50934_c0_seq1
Pstrigosa_190	comp52281_c0_seq1
Pstrigosa_191	comp56690_c0_seq8
Pstrigosa_192	comp48715_c0_seq5
Pstrigosa_193	comp54029_c0_seq11
Pstrigosa_194	comp47260_c0_seq1
Pstrigosa_195	comp58055_c0_seq1
Pstrigosa_196	comp48479_c0_seq1
Pstrigosa_197	comp50388_c0_seq1
Pstrigosa_198	comp55590_c0_seq3
Pstrigosa_199	comp53021_c0_seq1
Pstrigosa_200	comp55855_c0_seq1
Pstrigosa_201	comp55175_c0_seq3
Pstrigosa_202	comp47152_c0_seq1
Pstrigosa_203	comp49262_c0_seq1
Pstrigosa_204	comp49122_c0_seq3
Pstrigosa_205	comp49081_c0_seq1
Pstrigosa_206	comp47456_c0_seq1
Pstrigosa_207	comp53323_c0_seq2
Pstrigosa_208	comp48105_c0_seq1
Pstrigosa_209	comp56660_c0_seq2
Pstrigosa_210	comp52802_c0_seq1
Pstrigosa_211	comp53316_c0_seq1
Pstrigosa_212	comp56272_c0_seq2
Pstrigosa_213	comp55073_c0_seq1
Pstrigosa_214	comp46276_c0_seq1
Pstrigosa_215	comp51328_c0_seq1
Pstrigosa_216	comp47447_c0_seq1
Pstrigosa_217	comp46554_c0_seq1
Pstrigosa_218	comp58172_c0_seq1
Pstrigosa_219	comp54790_c0_seq1
Pstrigosa_220	comp48031_c0_seq6
Pstrigosa_221	comp52356_c0_seq1
Pstrigosa_222	comp46669_c0_seq5
Pstrigosa_223	comp49838_c0_seq4
Pstrigosa_224	comp56074_c0_seq1
Pstrigosa_225	comp49416_c0_seq4
Pstrigosa_226	comp49457_c0_seq4
Pstrigosa_227	comp50146_c0_seq1
Pstrigosa_228	comp58055_c0_seq3
Pstrigosa_229	comp50793_c0_seq1
Pstrigosa_230	comp55249_c0_seq1
Pstrigosa_231	comp52265_c0_seq1
Pstrigosa_232	comp55132_c0_seq1
Pstrigosa_233	comp56666_c0_seq1
Pstrigosa_234	comp58462_c0_seq2
Pstrigosa_235	comp51168_c0_seq2
Pstrigosa_236	comp49838_c0_seq12
Pstrigosa_237	comp48791_c0_seq1
Pstrigosa_238	comp47389_c0_seq3
Pstrigosa_239	comp46488_c0_seq4
Pstrigosa_240	comp46678_c0_seq1
Pstrigosa_241	comp55435_c0_seq1
Pstrigosa_242	comp47796_c0_seq1
Pstrigosa_243	comp49976_c0_seq1
Pstrigosa_244	comp57922_c0_seq15
Pstrigosa_245	comp48497_c0_seq3
Pstrigosa_246	comp57939_c0_seq7
Pstrigosa_247	comp45994_c1_seq2
Pstrigosa_248	comp48300_c0_seq4
Pstrigosa_249	comp50317_c0_seq2
Pstrigosa_250	comp57922_c0_seq6
Pstrigosa_251	comp56478_c0_seq3
Pstrigosa_252	comp49607_c0_seq4
Pstrigosa_253	comp46395_c0_seq2
Pstrigosa_254	comp54227_c0_seq2
Pstrigosa_255	comp48564_c0_seq1
Pstrigosa_256	comp48885_c0_seq1
Pstrigosa_257	comp52002_c0_seq3
Pstrigosa_258	comp58531_c0_seq1
Pstrigosa_259	comp49100_c0_seq1
Pstrigosa_260	comp55923_c0_seq1
Pstrigosa_261	comp51936_c0_seq2
Pstrigosa_262	comp50993_c0_seq2
Pstrigosa_263	comp49708_c0_seq1
Pstrigosa_264	comp46488_c0_seq1
Pstrigosa_265	comp52907_c0_seq3
Pstrigosa_266	comp48076_c0_seq2
Pstrigosa_267	comp53852_c0_seq2
Pstrigosa_268	comp49428_c0_seq1
Pstrigosa_269	comp50676_c0_seq3
Pstrigosa_270	comp55058_c0_seq1
Pstrigosa_271	comp54145_c0_seq1
Pstrigosa_272	comp46297_c0_seq2
Pstrigosa_273	comp52728_c0_seq1
Pstrigosa_274	comp53062_c0_seq1
Pstrigosa_275	comp54823_c0_seq2
Pstrigosa_276	comp55864_c0_seq2
Pstrigosa_277	comp52151_c0_seq1
Pstrigosa_278	comp49923_c0_seq1
Pstrigosa_279	comp55210_c0_seq1
Pstrigosa_280	comp49183_c0_seq1
Pstrigosa_281	comp53847_c0_seq2
Pstrigosa_282	comp46687_c0_seq1
Pstrigosa_283	comp49457_c0_seq1
Pstrigosa_284	comp48339_c0_seq1
Pstrigosa_285	comp49522_c0_seq3
Pstrigosa_286	comp51032_c0_seq1
Pstrigosa_287	comp54028_c0_seq1
Pstrigosa_288	comp49190_c1_seq3
Pstrigosa_289	comp46668_c0_seq2
Pstrigosa_290	comp58087_c0_seq3
Pstrigosa_291	comp58531_c0_seq2
Pstrigosa_292	comp57971_c0_seq1
Pstrigosa_293	comp54239_c0_seq2
Pstrigosa_294	comp57637_c0_seq1
Pstrigosa_295	comp46642_c0_seq1
Pstrigosa_296	comp53050_c0_seq4
Pstrigosa_297	comp57620_c0_seq1
Pstrigosa_298	comp55445_c0_seq2
Pstrigosa_299	comp58104_c0_seq1
Pstrigosa_300	comp47221_c0_seq6
Pstrigosa_301	comp49607_c0_seq1
Pstrigosa_302	comp55848_c0_seq1
Pstrigosa_303	comp54158_c0_seq1
Pstrigosa_304	comp54475_c0_seq3
Pstrigosa_305	comp51491_c0_seq1
Pstrigosa_306	comp56762_c0_seq4
Pstrigosa_307	comp57274_c0_seq1
Pstrigosa_308	comp56135_c0_seq2
Pstrigosa_309	comp57626_c0_seq3
Pstrigosa_310	comp55061_c0_seq3
Pstrigosa_311	comp55951_c0_seq1
Pstrigosa_312	comp52737_c0_seq15
Pstrigosa_313	comp55158_c0_seq1
Pstrigosa_314	comp57865_c0_seq3
Pstrigosa_315	comp49954_c0_seq1
Pstrigosa_316	comp51395_c0_seq1
Pstrigosa_317	comp53282_c0_seq4
Pstrigosa_318	comp48715_c0_seq12
Pstrigosa_319	comp53404_c0_seq1
Pstrigosa_320	comp54040_c0_seq1
Pstrigosa_321	comp48487_c0_seq1
Pstrigosa_322	comp53340_c0_seq1
Pstrigosa_323	comp48106_c0_seq1
Pstrigosa_324	comp53451_c0_seq4
Pstrigosa_325	comp57827_c0_seq1
Pstrigosa_326	comp53767_c0_seq2
Pstrigosa_327	comp57522_c0_seq1
Pstrigosa_328	comp57959_c0_seq2
Pstrigosa_329	comp49395_c0_seq2
Pstrigosa_330	comp50843_c0_seq2
Pstrigosa_331	comp47629_c0_seq6
Pstrigosa_332	comp58125_c0_seq8
Pstrigosa_333	comp46517_c0_seq1
Pstrigosa_334	comp58062_c0_seq1
Pstrigosa_335	comp48222_c0_seq2
Pstrigosa_336	comp50235_c0_seq1
Pstrigosa_337	comp50960_c0_seq1
Pstrigosa_338	comp51427_c0_seq1
Pstrigosa_339	comp52246_c0_seq1
Pstrigosa_340	comp56333_c0_seq2
Pstrigosa_341	comp57083_c0_seq2
Pstrigosa_342	comp54291_c0_seq1
Pstrigosa_343	comp47544_c0_seq1
Pstrigosa_344	comp54251_c0_seq1
Pstrigosa_345	comp50067_c0_seq2
Pstrigosa_346	comp55882_c0_seq1
Pstrigosa_347	comp57193_c0_seq4
Pstrigosa_348	comp48715_c0_seq3
Pstrigosa_349	comp53097_c0_seq3
Pstrigosa_350	comp58125_c0_seq7
Pstrigosa_351	comp56728_c0_seq2
Pstrigosa_352	comp49119_c0_seq1
Pstrigosa_353	comp51609_c0_seq2
Pstrigosa_354	comp56481_c0_seq2
Pstrigosa_355	comp48956_c0_seq1
Pstrigosa_356	comp52559_c0_seq1
Pstrigosa_357	comp57064_c0_seq4
Pstrigosa_358	comp46770_c0_seq1
Pstrigosa_359	comp46118_c0_seq1
Pstrigosa_360	comp49542_c0_seq1
Pstrigosa_361	comp54811_c0_seq1
Pstrigosa_362	comp50979_c0_seq2
Pstrigosa_363	comp56775_c0_seq1
Pstrigosa_364	comp49806_c0_seq1
Pstrigosa_365	comp55129_c0_seq2
Pstrigosa_366	comp55414_c0_seq5
Pstrigosa_367	comp47632_c0_seq2
Pstrigosa_368	comp57770_c0_seq2
Pstrigosa_369	comp49691_c0_seq4
Pstrigosa_370	comp52191_c0_seq2
Pstrigosa_371	comp48992_c0_seq2
Pstrigosa_372	comp47689_c0_seq1
Pstrigosa_373	comp53661_c0_seq4
Pstrigosa_374	comp52101_c0_seq3
Pstrigosa_375	comp53547_c0_seq1
Pstrigosa_376	comp47364_c0_seq1
Pstrigosa_377	comp46782_c0_seq1
Pstrigosa_378	comp49227_c0_seq3
Pstrigosa_379	comp50758_c0_seq2
Pstrigosa_380	comp57375_c0_seq2
Pstrigosa_381	comp55649_c0_seq1
Pstrigosa_382	comp57898_c0_seq1
Pstrigosa_383	comp57121_c0_seq1
Pstrigosa_384	comp46246_c0_seq2
Pstrigosa_385	comp46332_c2_seq3
Pstrigosa_386	comp56154_c0_seq2
Pstrigosa_387	comp52734_c0_seq1
Pstrigosa_388	comp47519_c0_seq1
Pstrigosa_389	comp48031_c0_seq1
Pstrigosa_390	comp53217_c0_seq1
Pstrigosa_391	comp46348_c0_seq1
Pstrigosa_392	comp52129_c0_seq1
Pstrigosa_393	comp57993_c0_seq1
Pstrigosa_394	comp48942_c0_seq1
Pstrigosa_395	comp57926_c0_seq1
