Plobata_189	c189269_g1_i1
Plobata_190	c189705_g1_i1
Plobata_191	c189810_g1_i1
Plobata_192	c189541_g1_i1
Plobata_193	c189775_g1_i1
Plobata_194	c189728_g1_i1
Plobata_195	c189649_g1_i1
Plobata_196	c189806_g1_i1
Plobata_197	c189305_g1_i1
Plobata_198	c189092_g1_i1
Plobata_199	c189396_g1_i1
Plobata_200	c189083_g1_i1
Plobata_201	c189147_g1_i1
Plobata_202	c190016_g1_i1
Plobata_203	c189576_g1_i1
Plobata_204	c7905_g1_i1
Plobata_205	c8054_g2_i1
Plobata_206	c7354_g1_i1
Plobata_207	c7396_g1_i1
Plobata_208	c8158_g1_i1
Plobata_209	c7359_g1_i1
Plobata_210	c7403_g1_i1
Plobata_211	c7846_g1_i1
Plobata_212	c8246_g1_i1
Plobata_213	c7524_g1_i1
Plobata_214	c7690_g1_i1
Plobata_215	c8227_g1_i1
Plobata_216	c7698_g1_i2
Plobata_217	c8168_g1_i1
Plobata_218	c8168_g1_i2
Plobata_219	c7555_g1_i1
Plobata_220	c8172_g1_i1
Plobata_221	c8172_g2_i1
Plobata_222	c7450_g1_i1
Plobata_223	c8176_g1_i1
Plobata_224	c7247_g1_i1
Plobata_225	c8116_g1_i2
Plobata_226	c7577_g1_i1
Plobata_227	c7385_g1_i1
Plobata_228	c7241_g1_i1
Plobata_229	c7357_g1_i1
Plobata_230	c7939_g1_i1
Plobata_231	c7341_g1_i1
Plobata_232	c7266_g1_i1
Plobata_233	c7660_g1_i1
Plobata_234	c7660_g1_i2
Plobata_235	c8062_g2_i1
Plobata_236	c8219_g1_i1
Plobata_237	c7596_g1_i1
Plobata_238	c7794_g1_i1
Plobata_239	c8243_g2_i1
Plobata_240	c7934_g1_i1
Plobata_241	c7482_g1_i1
Plobata_242	c7847_g1_i1
Plobata_243	c7321_g1_i1
Plobata_244	c7582_g1_i1
Plobata_245	c7487_g1_i1
Plobata_246	c8017_g1_i1
Plobata_247	c7437_g1_i1
Plobata_248	c7735_g1_i1
Plobata_249	c7281_g1_i1
Plobata_250	c7812_g1_i1
Plobata_251	c7709_g1_i1
Plobata_252	c8315_g1_i1
Plobata_253	c7513_g1_i1
Plobata_254	c8215_g2_i1
Plobata_255	c106117_g1_i1
Plobata_256	c106499_g1_i1
Plobata_257	c106414_g1_i1
Plobata_258	c106462_g1_i1
Plobata_259	c106261_g1_i1
Plobata_260	c106984_g1_i1
Plobata_261	c106077_g1_i1
Plobata_262	c106310_g1_i1
Plobata_263	c106768_g1_i1
Plobata_264	c106288_g1_i1
Plobata_265	c106525_g1_i1
Plobata_266	c106793_g1_i1
