Maequitube_178	c85283_g4_i2
Maequitube_179	c85283_g6_i1
Maequitube_180	c85283_g1_i5
Maequitube_181	c85283_g6_i2
Maequitube_182	c85283_g4_i4
Maequitube_183	c85283_g1_i6
Maequitube_184	c85283_g1_i7
Maequitube_185	c85283_g5_i2
Maequitube_186	c85283_g2_i2
Maequitube_187	c85283_g2_i3
Maequitube_188	c85283_g1_i8
Maequitube_189	c85283_g6_i4
Maequitube_190	c85283_g1_i9
Maequitube_191	c85283_g4_i5
Maequitube_192	c84580_g1_i4
Maequitube_193	c84580_g1_i5
Maequitube_194	c84580_g1_i11
Maequitube_195	c84580_g1_i12
Maequitube_196	c84580_g1_i13
Maequitube_197	c84580_g1_i14
Maequitube_198	c84580_g1_i15
Maequitube_199	c84863_g1_i1
Maequitube_200	c84830_g4_i1
Maequitube_201	c84830_g4_i2
Maequitube_202	c85431_g1_i1
Maequitube_203	c85431_g1_i2
Maequitube_204	c85431_g1_i4
Maequitube_205	c85061_g2_i1
Maequitube_206	c84701_g2_i2
Maequitube_207	c84701_g3_i1
Maequitube_208	c84701_g2_i3
Maequitube_209	c84701_g3_i2
Maequitube_210	c84701_g3_i3
Maequitube_211	c84701_g3_i4
Maequitube_212	c84701_g3_i5
Maequitube_213	c84701_g2_i4
Maequitube_214	c84701_g2_i6
Maequitube_215	c84701_g3_i6
Maequitube_216	c84701_g3_i7
Maequitube_217	c84701_g2_i7
Maequitube_218	c84701_g2_i8
Maequitube_219	c85150_g1_i1
Maequitube_220	c85150_g1_i2
Maequitube_221	c84901_g2_i1
Maequitube_222	c84901_g2_i2
Maequitube_223	c84901_g2_i3
Maequitube_224	c84901_g2_i4
Maequitube_225	c84901_g2_i5
Maequitube_226	c84890_g2_i1
Maequitube_227	c84890_g2_i2
Maequitube_228	c84890_g1_i2
Maequitube_229	c84890_g2_i4
Maequitube_230	c84890_g4_i2
Maequitube_231	c84890_g1_i4
Maequitube_232	c84890_g1_i5
Maequitube_233	c84890_g4_i3
Maequitube_234	c84822_g1_i2
Maequitube_235	c84822_g1_i4
Maequitube_236	c85297_g1_i1
Maequitube_237	c85297_g1_i2
Maequitube_238	c85297_g1_i3
Maequitube_239	c85390_g3_i1
Maequitube_240	c85390_g3_i2
Maequitube_241	c85390_g3_i3
Maequitube_242	c85390_g3_i6
Maequitube_243	c85390_g3_i7
Maequitube_244	c85390_g3_i10
Maequitube_245	c85390_g3_i11
Maequitube_246	c85390_g3_i13
Maequitube_247	c84738_g1_i1
Maequitube_248	c84738_g1_i2
Maequitube_249	c84738_g1_i3
Maequitube_250	c84738_g1_i4
Maequitube_251	c84738_g1_i5
Maequitube_252	c85119_g2_i1
Maequitube_253	c85119_g2_i2
Maequitube_254	c85119_g2_i3
Maequitube_255	c84909_g2_i1
Maequitube_256	c84909_g2_i2
Maequitube_257	c84909_g2_i3
Maequitube_258	c84909_g2_i4
Maequitube_259	c84909_g2_i5
Maequitube_260	c84909_g2_i6
Maequitube_261	c84909_g2_i7
Maequitube_262	c85396_g1_i2
Maequitube_263	c85396_g1_i5
Maequitube_264	c85389_g2_i3
Maequitube_265	c85389_g2_i4
Maequitube_266	c85389_g2_i5
Maequitube_267	c85389_g2_i6
Maequitube_268	c85389_g2_i7
Maequitube_269	c85425_g2_i1
Maequitube_270	c85425_g2_i2
Maequitube_271	c85400_g1_i1
Maequitube_272	c85400_g1_i2
Maequitube_273	c85400_g2_i1
Maequitube_274	c85400_g3_i1
Maequitube_275	c85400_g1_i7
Maequitube_276	c85088_g3_i1
Maequitube_277	c85088_g3_i2
Maequitube_278	c84955_g2_i1
Maequitube_279	c84955_g2_i2
Maequitube_280	c84955_g2_i3
Maequitube_281	c84955_g2_i4
Maequitube_282	c85235_g1_i1
Maequitube_283	c85235_g1_i2
Maequitube_284	c85235_g1_i3
Maequitube_285	c85235_g1_i4
Maequitube_286	c85235_g1_i5
Maequitube_287	c85235_g1_i6
Maequitube_288	c85301_g1_i1
Maequitube_289	c85301_g2_i1
Maequitube_290	c85301_g2_i2
Maequitube_291	c85083_g1_i1
Maequitube_292	c85083_g1_i2
Maequitube_293	c85083_g1_i3
Maequitube_294	c85083_g1_i4
Maequitube_295	c85255_g1_i1
Maequitube_296	c85255_g1_i2
Maequitube_297	c85255_g1_i4
Maequitube_298	c84827_g1_i1
Maequitube_299	c84827_g1_i2
Maequitube_300	c84692_g1_i1
Maequitube_301	c84692_g1_i2
Maequitube_302	c84692_g1_i3
Maequitube_303	c84692_g1_i5
Maequitube_304	c84692_g1_i6
Maequitube_305	c84692_g1_i7
Maequitube_306	c84692_g1_i8
Maequitube_307	c84692_g1_i9
Maequitube_308	c84692_g1_i11
Maequitube_309	c85205_g1_i1
Maequitube_310	c85205_g1_i2
Maequitube_311	c84984_g1_i1
Maequitube_312	c84984_g1_i3
Maequitube_313	c85453_g3_i1
Maequitube_314	c85251_g1_i1
Maequitube_315	c85183_g4_i1
Maequitube_316	c85183_g4_i2
Maequitube_317	c85183_g4_i4
Maequitube_318	c85183_g4_i6
Maequitube_319	c85422_g2_i3
Maequitube_320	c84799_g1_i1
Maequitube_321	c84799_g1_i2
Maequitube_322	c84799_g2_i2
Maequitube_323	c84799_g2_i3
Maequitube_324	c84799_g1_i3
Maequitube_325	c84799_g1_i4
Maequitube_326	c84799_g1_i5
Maequitube_327	c84578_g1_i1
Maequitube_328	c84578_g1_i2
Maequitube_329	c84603_g4_i1
Maequitube_330	c84603_g4_i2
Maequitube_331	c85457_g2_i1
Maequitube_332	c85457_g3_i1
Maequitube_333	c85457_g3_i2
Maequitube_334	c85457_g3_i3
Maequitube_335	c85457_g2_i3
Maequitube_336	c85457_g2_i4
Maequitube_337	c85457_g3_i5
Maequitube_338	c85457_g3_i6
Maequitube_339	c85457_g2_i5
Maequitube_340	c85457_g2_i6
Maequitube_341	c84913_g1_i1
Maequitube_342	c84913_g1_i2
Maequitube_343	c84570_g1_i1
Maequitube_344	c84570_g1_i2
Maequitube_345	c84570_g1_i3
Maequitube_346	c85397_g1_i1
Maequitube_347	c85397_g1_i2
Maequitube_348	c85397_g1_i3
Maequitube_349	c85397_g1_i4
Maequitube_350	c84508_g1_i1
Maequitube_351	c84508_g1_i2
Maequitube_352	c84508_g1_i3
Maequitube_353	c84508_g4_i1
Maequitube_354	c84508_g1_i4
Maequitube_355	c84508_g1_i7
Maequitube_356	c84508_g1_i8
Maequitube_357	c85320_g1_i1
Maequitube_358	c85337_g2_i1
Maequitube_359	c85337_g3_i1
Maequitube_360	c85337_g3_i3
Maequitube_361	c85318_g2_i1
Maequitube_362	c85318_g2_i2
Maequitube_363	c85318_g2_i3
Maequitube_364	c85318_g2_i4
Maequitube_365	c85318_g2_i5
Maequitube_366	c85206_g1_i2
Maequitube_367	c85206_g1_i4
Maequitube_368	c84985_g1_i1
Maequitube_369	c84985_g1_i2
Maequitube_370	c84985_g1_i4
Maequitube_371	c84523_g2_i1
Maequitube_372	c84486_g3_i1
Maequitube_373	c84486_g3_i2
Maequitube_374	c84486_g3_i3
Maequitube_375	c84486_g3_i4
Maequitube_376	c84486_g3_i5
Maequitube_377	c84486_g3_i6
Maequitube_378	c84486_g3_i7
Maequitube_379	c84486_g3_i10
Maequitube_380	c84486_g3_i11
Maequitube_381	c84486_g3_i12
Maequitube_382	c84486_g3_i13
Maequitube_383	c84486_g3_i14
Maequitube_384	c84687_g1_i1
Maequitube_385	c84687_g1_i2
Maequitube_386	c84687_g1_i5
Maequitube_387	c84886_g1_i1
Maequitube_388	c84886_g2_i1
Maequitube_389	c84886_g1_i2
Maequitube_390	c84886_g2_i2
Maequitube_391	c84886_g1_i3
Maequitube_392	c84886_g1_i4
Maequitube_393	c84886_g4_i1
Maequitube_394	c84886_g4_i2
Maequitube_395	c85321_g5_i1
Maequitube_396	c85321_g5_i2
Maequitube_397	c85321_g5_i3
Maequitube_398	c85321_g5_i4
Maequitube_399	c85321_g5_i5
Maequitube_400	c84507_g1_i1
Maequitube_401	c84507_g1_i3
Maequitube_402	c84507_g2_i2
Maequitube_403	c84507_g1_i4
Maequitube_404	c84507_g1_i5
Maequitube_405	c84507_g2_i3
Maequitube_406	c84507_g5_i2
Maequitube_407	c84703_g2_i1
Maequitube_408	c84703_g2_i2
Maequitube_409	c84703_g2_i3
Maequitube_410	c84703_g2_i5
Maequitube_411	c84703_g2_i7
Maequitube_412	c84613_g2_i1
Maequitube_413	c84613_g4_i1
Maequitube_414	c84613_g4_i2
