Gastreata_214	c80332_g2_i1
Gastreata_215	c80332_g1_i2
Gastreata_216	c80332_g1_i3
Gastreata_217	c80332_g1_i5
Gastreata_218	c80332_g1_i6
Gastreata_219	c80332_g1_i7
Gastreata_220	c80332_g3_i1
Gastreata_221	c80332_g4_i1
Gastreata_222	c80332_g1_i8
Gastreata_223	c80332_g1_i9
Gastreata_224	c80332_g1_i10
Gastreata_225	c80332_g1_i11
Gastreata_226	c80332_g1_i12
Gastreata_227	c80332_g5_i1
Gastreata_228	c80026_g1_i1
Gastreata_229	c80026_g1_i2
Gastreata_230	c79890_g1_i1
Gastreata_231	c79890_g1_i2
Gastreata_232	c79890_g1_i3
Gastreata_233	c79890_g2_i1
Gastreata_234	c79507_g1_i1
Gastreata_235	c79507_g1_i3
Gastreata_236	c79507_g1_i4
Gastreata_237	c79507_g1_i8
Gastreata_238	c80056_g2_i1
Gastreata_239	c80056_g2_i2
Gastreata_240	c80165_g1_i1
Gastreata_241	c80165_g2_i1
Gastreata_242	c80165_g3_i1
Gastreata_243	c80165_g4_i1
Gastreata_244	c80165_g2_i3
Gastreata_245	c80165_g4_i3
Gastreata_246	c80321_g1_i1
Gastreata_247	c80321_g1_i2
Gastreata_248	c80321_g1_i5
Gastreata_249	c80321_g2_i1
Gastreata_250	c80321_g1_i7
Gastreata_251	c80321_g1_i9
Gastreata_252	c80321_g2_i2
Gastreata_253	c80321_g1_i10
Gastreata_254	c79733_g1_i1
Gastreata_255	c79733_g1_i2
Gastreata_256	c79733_g1_i5
Gastreata_257	c79792_g2_i7
Gastreata_258	c79792_g2_i10
Gastreata_259	c79792_g2_i11
Gastreata_260	c79592_g1_i1
Gastreata_261	c79592_g1_i2
Gastreata_262	c80130_g1_i1
Gastreata_263	c80130_g1_i2
Gastreata_264	c80130_g1_i3
Gastreata_265	c80147_g1_i2
Gastreata_266	c80147_g1_i4
Gastreata_267	c80399_g2_i1
Gastreata_268	c80399_g1_i4
Gastreata_269	c80399_g4_i1
Gastreata_270	c80399_g1_i6
Gastreata_271	c80256_g1_i1
Gastreata_272	c80256_g1_i2
Gastreata_273	c80256_g1_i3
Gastreata_274	c80021_g1_i1
Gastreata_275	c80003_g1_i1
Gastreata_276	c80003_g1_i2
Gastreata_277	c80003_g1_i3
Gastreata_278	c80003_g1_i4
Gastreata_279	c80003_g1_i5
Gastreata_280	c80003_g1_i6
Gastreata_281	c80003_g1_i7
Gastreata_282	c80003_g1_i8
Gastreata_283	c80003_g1_i9
Gastreata_284	c80003_g1_i10
Gastreata_285	c80003_g1_i11
